Altium Designer Pick and Place Locations
C:\PCB Projects\4. Assembly Station #2\Assem_Stn_2_Rev1\Project Outputs for Assem_Stn_2_Rev1\Pick Place for ASSEM_STN_2_Rev1.txt

========================================================================================================================
File Design Information:

Date:       06/03/26
Time:       14:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator "MFR PN"            Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
U23        M24M02E-FMN6TP      TopLayer    8LD_-_SOIC               73.3552      4.4704       0        "EEPROM Memory IC 2Mbit I2C 1 MHz 450 ns 8-SO"                                                                                                              
FID6       ""                  BottomLayer Fiducial                 11.2268      132.0800     180      "40mil Fudicial"                                                                                                                                            
FID5       ""                  BottomLayer Fiducial                 139.4968     42.1132      180      "40mil Fudicial"                                                                                                                                            
FID4       ""                  BottomLayer Fiducial                 3.3020       42.1132      0        "40mil Fudicial"                                                                                                                                            
FID3       ""                  TopLayer    Fiducial                 11.2268      132.0800     0        "40mil Fudicial"                                                                                                                                            
FID2       ""                  TopLayer    Fiducial                 139.4968     42.1132      0        "40mil Fudicial"                                                                                                                                            
FID1       ""                  TopLayer    Fiducial                 3.3020       42.1132      0        "40mil Fudicial"                                                                                                                                            
R226       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    111.8616     39.7764      90       "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R225       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    113.3348     39.7764      90       "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R224       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    114.8080     39.7764      90       "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R223       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    116.2812     39.7764      90       "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R222       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    91.6178      22.8346      0        "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R221       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    91.6178      24.3078      0        "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R220       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    91.6178      25.7810      0        "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
TP12       5012                TopLayer    TP_5011                  130.5814     33.6804      0        "PC TEST POINT MULTIPURPOSE WHITE"                                                                                                                          
TP9        5012                TopLayer    TP_5011                  130.6068     30.1752      0        "PC TEST POINT MULTIPURPOSE WHITE"                                                                                                                          
TP8        5012                TopLayer    TP_5011                  95.4532      39.5732      0        "PC TEST POINT MULTIPURPOSE WHITE"                                                                                                                          
R219       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    137.6172     103.9114     180      "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R218       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    125.5522     103.9368     0        "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
C47        C5750X7R1H226M250KB BottomLayer DEFAULT_CAPACITOR_2220   77.7494      85.1408      180      "CAP CER 22UF 50V X7R 2220"                                                                                                                                 
U22        LTC1799HS5#TRPBF    TopLayer    LTC1799HS5-TSOT23-5      133.2992     25.3492      0        "IC OSC SILICON PROG TSOT23-5"                                                                                                                              
U4         MCP1826S-3302E/DB   TopLayer    MCP1826S-3302E/DB        65.8952      45.8978      270      "IC REG LINEAR 3.3V 1A SOT-223-3"                                                                                                                           
R217       RC0805JR-070RL      BottomLayer DEFAULT_RESISTOR_0805    51.2826      67.2846      270      "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R216       RC0805JR-070RL      BottomLayer DEFAULT_RESISTOR_0805    46.1264      68.9356      180      "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R215       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    74.0664      59.6138      90       "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R214       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    73.6346      52.3748      270      "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R213       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    78.4352      50.4190      90       "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R212       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    78.3844      43.0276      270      "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R211       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    32.5628      37.5920      180      "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
R210       RC0805JR-070RL      TopLayer    DEFAULT_RESISTOR_0805    39.9796      37.6682      0        "RES 0 OHM JUMPER 1/8W 0805"                                                                                                                                
U46        NSREF3140-DSTR      TopLayer    NSREF3140DSTR-SOT23-3L   55.0164      91.6940      90       "0.2% ACCURACY 15PPM 4V REF"                                                                                                                                
U45        ""                  TopLayer    ADS7066IRTER-WQFN16      77.0138      20.1048      0        "16 Bit Analog to Digital Converter 8 Input 1 SAR 16-WQFN (3x3)"                                                                                            
